SEASON_ID,PLAYER_ID,GAME_ID,GAME_DATE,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,TEAM_NAME,PLAYER_NAME,TEAM_ID
22023,1629027,22300499,2024-01-07,0,42,11,23,0.478,2,9,0.222,7,10,0.7,0,4,4,9,1,1,5,2,31,-10,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300480,2024-01-05,0,28,4,18,0.222,1,11,0.091,4,5,0.8,0,2,2,6,2,0,3,2,13,-28,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300467,2024-01-03,1,34,6,13,0.462,2,9,0.222,10,11,0.909,0,4,4,11,2,0,6,2,24,-9,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300445,2023-12-31,1,40,11,19,0.579,4,8,0.5,14,19,0.737,0,3,3,13,3,0,5,2,40,-13,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300431,2023-12-29,0,38,7,18,0.389,3,10,0.3,7,7,1.0,1,2,3,9,4,0,4,4,24,-11,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300408,2023-12-26,0,40,6,17,0.353,3,12,0.25,6,7,0.857,0,2,2,13,1,0,6,3,21,-3,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300393,2023-12-23,0,41,11,24,0.458,3,10,0.3,5,7,0.714,0,5,5,13,1,1,2,3,30,2,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300384,2023-12-22,0,40,10,22,0.455,7,13,0.538,3,3,1.0,0,3,3,13,2,0,6,1,30,-11,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300371,2023-12-20,1,36,10,18,0.556,5,8,0.625,5,7,0.714,0,4,4,14,1,0,4,4,30,11,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300352,2023-12-18,1,38,8,17,0.471,4,11,0.364,11,12,0.917,0,4,4,15,0,0,5,3,31,16,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300336,2023-12-16,0,38,11,21,0.524,7,12,0.583,6,6,1.0,0,4,4,10,0,1,5,3,35,-9,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300330,2023-12-15,1,36,15,29,0.517,7,15,0.467,1,2,0.5,1,4,5,11,1,0,8,2,38,14,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300313,2023-12-13,0,39,13,27,0.481,4,9,0.444,5,6,0.833,0,4,4,17,0,1,5,3,35,0,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300296,2023-12-11,0,26,5,12,0.417,2,5,0.4,7,7,1.0,0,1,1,9,1,0,5,2,19,-10,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22301209,2023-12-06,0,37,11,24,0.458,3,9,0.333,5,5,1.0,1,0,1,9,0,2,5,2,30,3,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300286,2023-12-02,0,37,13,28,0.464,5,13,0.385,1,2,0.5,2,0,2,12,2,0,4,0,32,-8,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300272,2023-11-30,1,40,15,29,0.517,2,9,0.222,13,16,0.813,0,4,4,14,2,0,2,1,45,-1,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300055,2023-11-28,0,32,3,14,0.214,2,8,0.25,5,6,0.833,0,1,1,10,1,0,3,3,13,-27,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300246,2023-11-26,0,37,12,27,0.444,6,16,0.375,3,6,0.5,1,4,5,7,0,0,5,3,33,-11,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300241,2023-11-25,1,30,9,17,0.529,5,8,0.625,3,3,1.0,0,6,6,10,2,0,2,1,26,40,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300227,2023-11-22,1,40,12,31,0.387,8,16,0.5,11,13,0.846,2,2,4,9,2,0,4,0,43,-11,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300039,2023-11-21,0,39,13,17,0.765,5,8,0.625,7,8,0.875,0,1,1,8,3,0,3,3,38,-2,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300029,2023-11-17,0,37,5,14,0.357,2,6,0.333,10,10,1.0,0,2,2,13,1,0,4,3,22,12,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300193,2023-11-15,0,34,4,12,0.333,0,4,0.0,7,9,0.778,0,1,1,17,2,0,3,0,15,1,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300175,2023-11-11,0,38,7,19,0.368,3,9,0.333,10,11,0.909,0,2,2,11,1,0,5,0,27,4,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300172,2023-11-09,1,34,12,27,0.444,5,15,0.333,12,13,0.923,2,2,4,8,3,0,3,1,41,1,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300155,2023-11-06,0,36,5,18,0.278,1,5,0.2,11,11,1.0,1,3,4,11,1,0,7,1,22,-18,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300135,2023-11-04,1,39,7,15,0.467,3,7,0.429,5,6,0.833,3,2,5,12,1,0,5,3,22,18,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300117,2023-11-01,1,35,7,18,0.389,1,3,0.333,8,9,0.889,0,3,3,10,2,0,3,1,23,4,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300104,2023-10-30,1,35,9,22,0.409,1,7,0.143,5,5,1.0,0,1,1,8,1,0,1,1,24,4,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300097,2023-10-29,1,32,5,14,0.357,3,8,0.375,7,9,0.778,0,3,3,11,1,0,3,1,20,13,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300079,2023-10-27,0,35,4,16,0.25,2,5,0.4,8,10,0.8,1,2,3,12,3,0,6,2,18,-5,Atlanta Hawks,Trae Young,1610612737
22023,1629027,22300063,2023-10-25,0,36,4,19,0.211,1,9,0.111,14,15,0.933,0,1,1,9,1,0,5,3,23,-11,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22401202,2024-12-11,1,36,8,22,0.364,2,8,0.25,4,4,1.0,0,5,5,11,1,0,3,1,22,6,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400350,2024-12-08,0,35,6,13,0.462,2,7,0.286,1,2,0.5,1,3,4,10,3,0,4,1,15,-5,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400334,2024-12-06,1,42,9,25,0.36,5,13,0.385,8,8,1.0,0,4,4,20,2,0,3,1,31,-6,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400323,2024-12-04,1,35,6,19,0.316,0,9,0.0,5,6,0.833,0,4,4,7,0,0,4,3,17,7,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400315,2024-12-02,1,36,5,16,0.313,2,9,0.222,0,0,0.0,1,7,8,15,1,0,5,3,12,20,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400300,2024-11-30,1,31,4,9,0.444,2,6,0.333,4,6,0.667,0,4,4,5,1,0,6,2,14,-4,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400041,2024-11-29,1,35,7,12,0.583,2,5,0.4,5,5,1.0,0,3,3,11,0,0,7,4,21,10,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400287,2024-11-27,1,37,6,18,0.333,3,13,0.231,5,5,1.0,0,4,4,22,0,0,5,3,20,5,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400280,2024-11-25,0,35,5,12,0.417,2,4,0.5,6,7,0.857,1,1,2,16,3,0,3,2,18,-1,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400030,2024-11-22,0,38,8,18,0.444,1,8,0.125,8,8,1.0,0,1,1,13,4,1,4,2,25,-9,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400258,2024-11-20,0,30,4,12,0.333,1,6,0.167,3,4,0.75,0,3,3,11,2,0,3,2,12,-19,Atlanta Hawks,Trae Young,1610612737
22024,1629027,22400250,2024-11-18,1,36,1,7,0.143,0,2,0.0,5,5,1.0,0,3,3,19,2,0,5,1,7,16,Atlanta Hawks,Trae Young,1610612737
